Date,Action,Symbol,Description,Quantity,Price,Fees,Amount
05/27/2022,Buy,XELA,EXELA TECHNOLOGIES INC,3000,$0.22,,-$667.80
05/27/2022,Buy,XELA,EXELA TECHNOLOGIES INC,1500,$0.22,,-$333.90
05/27/2022,Buy,XELA,EXELA TECHNOLOGIES INC,1500,$0.22,,-$333.90
03/11/2022,Buy,XELA,EXELA TECHNOLOGIES INC EXCHANGE OFFER EXP: 03/10/22,1000,$0.57,,-$573.90
01/28/2022,Sell Short,XELA,EXELA TECHNOLOGIES INC,2000,$0.63,$0.01,"$1,257.59"
01/26/2022,Buy,XELA,EXELA TECHNOLOGIES INC,5000,$0.71,,"-$3,561.50"
01/25/2022,Sell Short,XELA,EXELA TECHNOLOGIES INC,8300,$0.54,$0.02,"$4,457.91"
01/25/2022,Sell Short,XELA,EXELA TECHNOLOGIES INC,700,$0.54,,$375.97
01/25/2022,Sell Short,XELA,EXELA TECHNOLOGIES INC,1000,$0.54,,$537.10
01/05/2022,Buy,TKAT,TAKUNG ART INC 00500,300,$3.86,,"-$1,157.61"
12/30/2021,Buy,TKAT,TAKUNG ART INC 00500,100,$4.69,,-$468.97
12/29/2021,Sell Short,TKAT,TAKUNG ART INC 00500,397,$5.01,$0.01,"$1,986.98"
12/29/2021,Sell Short,TKAT,TAKUNG ART INC 00500,3,$5.01,,$15.02
12/28/2021,Buy,APT,ALPHA PRO TECH LTD,200,$6.14,,"-$1,227.00"
12/28/2021,Sell Short,APT,ALPHA PRO TECH LTD,200,$7.40,$0.01,"$1,479.99"
12/23/2021,Buy,QLGN,QUALIGEN THERAPEUTICS IN,100,$1.31,,-$130.50
12/23/2021,Buy,QLGN,QUALIGEN THERAPEUTICS IN,200,$1.31,,-$261.00
12/23/2021,Buy,QLGN,QUALIGEN THERAPEUTICS IN,200,$1.31,,-$261.00
12/23/2021,Buy,QLGN,QUALIGEN THERAPEUTICS IN,100,$1.31,,-$130.50
12/23/2021,Buy,QLGN,QUALIGEN THERAPEUTICS IN,200,$1.31,,-$261.00
12/23/2021,Buy,QLGN,QUALIGEN THERAPEUTICS IN,200,$1.31,,-$261.00
12/23/2021,Sell Short,QLGN,QUALIGEN THERAPEUTICS IN,1000,$1.52,$0.01,"$1,521.29"
09/24/2021,Buy,CCJ,CAMECO CORP F,100,$19.99,,"-$1,998.50"
09/10/2021,Sell Short,CCJ,CAMECO CORP F,100,$24.79,$0.01,"$2,478.99"
08/13/2021,Buy,WISH,CONTEXTLOGIC INC CLASS A,50,$7.43,,-$371.50
08/13/2021,Buy,WISH,CONTEXTLOGIC INC CLASS A,50,$6.96,,-$348.00
06/10/2021,Sell Short,WISH,CONTEXTLOGIC INC CLASS A,100,$10.93,$0.01,"$1,093.18"
06/10/2021,Buy,OCGN,OCUGEN INC,450,$7.38,,"-$3,321.05"
05/07/2021,Sell Short,OCGN,OCUGEN INC,150,$9.34,$0.01,"$1,401.01"
04/30/2021,Buy,MNMD,MIND MEDICINE MINDMED F,983,$3.99,,"-$3,922.17"
04/30/2021,Buy,MNMD,MIND MEDICINE MINDMED F,17,$3.99,,-$67.83
04/27/2021,Sell Short,OCGN,OCUGEN INC,200,$10.66,$0.01,"$2,131.99"
04/27/2021,Sell Short,OCGN,OCUGEN INC,100,$10.66,$0.01,"$1,065.99"
04/26/2021,Sell Short,MNMD,MIND MEDICINE MINDMED F,1000,$4.52,$0.02,"$4,514.98"
02/01/2021,Buy,GATO,GATOS SILVER INC,5,$14.87,,-$74.35
02/01/2021,Sell Short,GATO,GATOS SILVER INC,5,$17.51,,$87.55
